INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475601700,47.7345799,10.3462983,47.734573,10.34629036,0.905208,8955,0.7392,47.73457653,10.34629872,8
475601750,47.7345686,10.3463086,47.7345653,10.34629733,0.911676,8956,0.7602,47.73456893,10.34630593,8
475601800,47.7345573,10.346319,47.73454989,10.34631129,0.924979,8957,0.7434,47.73455344,10.3463197,8
475601850,47.734546,10.3463293,47.73454219,10.34631827,0.926249,8958,0.7329,47.73454569,10.34632656,8
475601900,47.7345347,10.3463396,47.73452678,10.34633223,0.932828,8959,0.8316,47.73453075,10.34634164,8
475601950,47.7345234,10.3463499,47.73451907,10.34633921,0.934065,8960,0.8022,47.7345229,10.34634829,8
475602000,47.7345121,10.3463602,47.73450366,10.34635317,0.939703,8961,0.8148,47.73450755,10.34636239,8
475602050,47.7345008,10.3463704,47.73449596,10.34636015,0.936021,8962,0.7896,47.73449973,10.34636908,8
475602100,47.7344895,10.3463807,47.73448055,10.34637411,0.940475,8963,0.7581,47.73448417,10.34638269,8
475602150,47.7344782,10.346391,47.73447285,10.34638109,0.943701,8964,0.798,47.73447666,10.34639012,8
475602200,47.7344669,10.3464012,47.73445744,10.34639505,0.938964,8965,0.7938,47.73446123,10.34640403,8
475602250,47.7344556,10.3464115,47.73444974,10.34640203,0.944842,8966,0.8127,47.73445362,10.34641123,8
475602300,47.7344443,10.3464218,47.73443433,10.34641599,0.949348,8967,0.8652,47.73443846,10.34642578,8
475602350,47.7344329,10.346432,47.73442662,10.34642297,0.942478,8968,0.7707,47.7344303,10.34643169,8
475602400,47.7344216,10.3464422,47.73441122,10.34643693,0.932599,8969,0.798,47.73441503,10.34644596,8
475602450,47.7344103,10.3464525,47.73440351,10.34644391,0.942443,8970,0.8211,47.73440743,10.3464532,8
475602500,47.734399,10.3464627,47.7343881,10.34645787,0.938054,8971,0.7896,47.73439187,10.3464668,8
475602550,47.7343877,10.3464729,47.7343804,10.34646485,0.936378,8972,0.8043,47.73438424,10.34647395,8
475602600,47.7343764,10.3464831,47.7343727,10.34647183,0.934023,8973,0.7602,47.73437633,10.34648043,8
475602650,47.734365,10.3464933,47.73435729,10.34648579,0.928012,8974,0.7602,47.73436092,10.34649439,8
475602700,47.7343537,10.3465035,47.73434959,10.34649277,0.92394,8975,0.7686,47.73435326,10.34650147,8
475602750,47.7343424,10.3465137,47.73433418,10.34650673,0.919198,8976,0.7581,47.7343378,10.34651531,8
475602800,47.7343311,10.3465239,47.73432648,10.34651371,0.919244,8977,0.7413,47.73433002,10.3465221,8
475602850,47.7343197,10.3465341,47.73431107,10.34652767,0.909,8978,0.7392,47.7343146,10.34653603,8
475602900,47.7343084,10.3465443,47.73430336,10.34653465,0.909206,8979,0.735,47.73430687,10.34654297,8
475602950,47.7342971,10.3465545,47.73428796,10.34654862,0.905678,8980,0.7371,47.73429148,10.34655696,8
475603000,47.7342857,10.3465647,47.73428026,10.3465556,0.896904,8981,0.7497,47.73428384,10.34656408,8
475603050,47.7342744,10.3465749,47.73426485,10.34656956,0.892469,8982,0.7623,47.73426849,10.34657819,8
475603100,47.7342631,10.3465851,47.73425715,10.34657654,0.893182,8983,0.7476,47.73426072,10.346585,8
475603150,47.7342517,10.3465953,47.73424174,10.3465905,0.890188,8984,0.777,47.73424545,10.34659929,8
475603200,47.7342404,10.3466055,47.73423404,10.34659748,0.881556,8985,0.8274,47.73423799,10.34660684,8
475603250,47.7342291,10.3466157,47.73421863,10.34661144,0.88101,8986,0.798,47.73422244,10.34662047,8
475603300,47.7342178,10.3466259,47.73421093,10.34661843,0.876848,8987,0.8274,47.73421488,10.34662779,8
475603350,47.7342064,10.3466361,47.73420323,10.34662541,0.866511,8988,0.8232,47.73420716,10.34663472,8
475603400,47.7341951,10.3466463,47.73418782,10.34663937,0.86307,8989,0.7938,47.73419161,10.34664835,8
475603450,47.7341838,10.3466565,47.73418012,10.34664635,0.862209,8990,0.7875,47.73418388,10.34665526,8
475603500,47.7341725,10.3466667,47.73416471,10.34666031,0.855689,8991,0.7539,47.73416831,10.34666884,8
475603550,47.7341612,10.3466769,47.73415701,10.3466673,0.856504,8992,0.7749,47.73416071,10.34667607,8
475603600,47.7341498,10.3466871,47.7341416,10.34668126,0.846671,8993,0.7749,47.7341453,10.34669003,8
