INS_time_ms, INS_Lat, INS_Lon, Nearest_Lat, Nearest_Lon, GT_D2L_m, Frame_no, ODO_D2L_m, Lat_new, Lon_new, GPS_stauts
475601700, 47.73457990, 10.34629830, 47.73457300, 10.34629036, 0.905208, 8955, 0.739200, 47.73457653, 10.34629872, 8
475601750, 47.73456860, 10.34630860, 47.73456530, 10.34629733, 0.911676, 8956, 0.760200, 47.73456893, 10.34630593, 8
475601800, 47.73455730, 10.34631900, 47.73454989, 10.34631129, 0.924979, 8957, 0.743400, 47.73455344, 10.34631970, 8
475601850, 47.73454600, 10.34632930, 47.73454219, 10.34631827, 0.926249, 8958, 0.732900, 47.73454569, 10.34632656, 8
475601900, 47.73453470, 10.34633960, 47.73452678, 10.34633223, 0.932828, 8959, 0.831600, 47.73453075, 10.34634164, 8
475601950, 47.73452340, 10.34634990, 47.73451907, 10.34633921, 0.934065, 8960, 0.802200, 47.73452290, 10.34634829, 8
475602000, 47.73451210, 10.34636020, 47.73450366, 10.34635317, 0.939703, 8961, 0.814800, 47.73450755, 10.34636239, 8
475602050, 47.73450080, 10.34637040, 47.73449596, 10.34636015, 0.936021, 8962, 0.789600, 47.73449973, 10.34636908, 8
475602100, 47.73448950, 10.34638070, 47.73448055, 10.34637411, 0.940475, 8963, 0.758100, 47.73448417, 10.34638269, 8
475602150, 47.73447820, 10.34639100, 47.73447285, 10.34638109, 0.943701, 8964, 0.798000, 47.73447666, 10.34639012, 8
475602200, 47.73446690, 10.34640120, 47.73445744, 10.34639505, 0.938964, 8965, 0.793800, 47.73446123, 10.34640403, 8
475602250, 47.73445560, 10.34641150, 47.73444974, 10.34640203, 0.944842, 8966, 0.812700, 47.73445362, 10.34641123, 8
475602300, 47.73444430, 10.34642180, 47.73443433, 10.34641599, 0.949348, 8967, 0.865200, 47.73443846, 10.34642578, 8
475602350, 47.73443290, 10.34643200, 47.73442662, 10.34642297, 0.942478, 8968, 0.770700, 47.73443030, 10.34643169, 8
475602400, 47.73442160, 10.34644220, 47.73441122, 10.34643693, 0.932599, 8969, 0.798000, 47.73441503, 10.34644596, 8
475602450, 47.73441030, 10.34645250, 47.73440351, 10.34644391, 0.942443, 8970, 0.821100, 47.73440743, 10.34645320, 8
475602500, 47.73439900, 10.34646270, 47.73438810, 10.34645787, 0.938054, 8971, 0.789600, 47.73439187, 10.34646680, 8
475602550, 47.73438770, 10.34647290, 47.73438040, 10.34646485, 0.936378, 8972, 0.804300, 47.73438424, 10.34647395, 8
475602600, 47.73437640, 10.34648310, 47.73437270, 10.34647183, 0.934023, 8973, 0.760200, 47.73437633, 10.34648043, 8
475602650, 47.73436500, 10.34649330, 47.73435729, 10.34648579, 0.928012, 8974, 0.760200, 47.73436092, 10.34649439, 8
475602700, 47.73435370, 10.34650350, 47.73434959, 10.34649277, 0.923940, 8975, 0.768600, 47.73435326, 10.34650147, 8
475602750, 47.73434240, 10.34651370, 47.73433418, 10.34650673, 0.919198, 8976, 0.758100, 47.73433780, 10.34651531, 8
475602800, 47.73433110, 10.34652390, 47.73432648, 10.34651371, 0.919244, 8977, 0.741300, 47.73433002, 10.34652210, 8
475602850, 47.73431970, 10.34653410, 47.73431107, 10.34652767, 0.909000, 8978, 0.739200, 47.73431460, 10.34653603, 8
475602900, 47.73430840, 10.34654430, 47.73430336, 10.34653465, 0.909206, 8979, 0.735000, 47.73430687, 10.34654297, 8
475602950, 47.73429710, 10.34655450, 47.73428796, 10.34654862, 0.905678, 8980, 0.737100, 47.73429148, 10.34655696, 8
475603000, 47.73428570, 10.34656470, 47.73428026, 10.34655560, 0.896904, 8981, 0.749700, 47.73428384, 10.34656408, 8
475603050, 47.73427440, 10.34657490, 47.73426485, 10.34656956, 0.892469, 8982, 0.762300, 47.73426849, 10.34657819, 8
475603100, 47.73426310, 10.34658510, 47.73425715, 10.34657654, 0.893182, 8983, 0.747600, 47.73426072, 10.34658500, 8
475603150, 47.73425170, 10.34659530, 47.73424174, 10.34659050, 0.890188, 8984, 0.777000, 47.73424545, 10.34659929, 8
475603200, 47.73424040, 10.34660550, 47.73423404, 10.34659748, 0.881556, 8985, 0.827400, 47.73423799, 10.34660684, 8
475603250, 47.73422910, 10.34661570, 47.73421863, 10.34661144, 0.881010, 8986, 0.798000, 47.73422244, 10.34662047, 8
475603300, 47.73421780, 10.34662590, 47.73421093, 10.34661843, 0.876848, 8987, 0.827400, 47.73421488, 10.34662779, 8
475603350, 47.73420640, 10.34663610, 47.73420323, 10.34662541, 0.866511, 8988, 0.823200, 47.73420716, 10.34663472, 8
475603400, 47.73419510, 10.34664630, 47.73418782, 10.34663937, 0.863070, 8989, 0.793800, 47.73419161, 10.34664835, 8
475603450, 47.73418380, 10.34665650, 47.73418012, 10.34664635, 0.862209, 8990, 0.787500, 47.73418388, 10.34665526, 8
475603500, 47.73417250, 10.34666670, 47.73416471, 10.34666031, 0.855689, 8991, 0.753900, 47.73416831, 10.34666884, 8
475603550, 47.73416120, 10.34667690, 47.73415701, 10.34666730, 0.856504, 8992, 0.774900, 47.73416071, 10.34667607, 8
