Time(S), Latitude, Longitude, CM_D2TS
169.555,47.568562,10.189104,0
169.655,47.568562,10.189091,0
169.755,47.568565,10.189076,0
169.855,47.568569,10.189063,0
169.955,47.568573,10.18905,0
170.055,47.568577,10.189036,0
170.155,47.568581,10.189022,0
170.255,47.568584,10.189009,0
170.355,47.568592,10.188994,0
170.455,47.568596,10.188981,0
170.555,47.5686,10.188968,0
170.655,47.568604,10.188953,0
170.755,47.568607,10.18894,0
170.855,47.568611,10.188926,0
170.955,47.568615,10.188912,0
171.055,47.568619,10.188899,0
171.155,47.568623,10.188885,0
171.255,47.568626,10.18887,0
171.355,47.56863,10.188857,0
171.455,47.568634,10.188843,0
171.555,47.568638,10.188828,0
171.655,47.568642,10.188813,0
171.755,47.568645,10.188799,0
171.855,47.568649,10.188784,0
171.955,47.568653,10.188768,0
172.055,47.568661,10.188753,0
172.155,47.568665,10.188738,0
172.255,47.568668,10.188723,0
172.355,47.568672,10.188706,0
172.455,47.568676,10.188691,0
172.555,47.568684,10.188675,0
172.655,47.568687,10.18866,0
172.755,47.568691,10.188643,0
172.855,47.568699,10.188627,0
172.955,47.568703,10.188611,0
173.055,47.568707,10.188595,0
173.155,47.56871,10.18858,0
173.255,47.568718,10.188563,0
173.355,47.568722,10.188547,0
173.455,47.568726,10.18853,0
173.555,47.568733,10.188514,0
173.655,47.568737,10.188498,0
173.755,47.568745,10.188481,0
173.855,47.568748,10.188465,0
173.955,47.568752,10.188449,0
174.055,47.56876,10.188433,0
174.155,47.568764,10.188416,0
174.255,47.568771,10.1884,0
174.355,47.568775,10.188384,0
174.455,47.568779,10.188367,0
174.555,47.568787,10.188351,0
174.655,47.56879,10.188334,0
174.755,47.568798,10.188318,0
174.855,47.568802,10.188302,0
174.955,47.56881,10.188286,0
175.055,47.568813,10.18827,0
175.155,47.568821,10.188253,0
175.255,47.568825,10.188237,0
175.355,47.568832,10.188221,0
175.455,47.568836,10.188205,0
175.555,47.568844,10.188189,0
175.655,47.568848,10.188172,0
175.755,47.568855,10.188156,0
175.855,47.568863,10.188141,0
175.955,47.568867,10.188125,0
176.055,47.568874,10.188108,0
176.155,47.568878,10.188092,0
176.255,47.568886,10.188076,0
176.355,47.56889,10.18806,0
176.455,47.568897,10.188044,0
176.555,47.568905,10.188028,0
176.655,47.568909,10.188012,0
176.755,47.568916,10.187996,0
176.855,47.56892,10.18798,0
176.955,47.568928,10.187963,0
177.055,47.568935,10.187947,0
177.155,47.568939,10.187931,0
177.255,47.568947,10.187915,0
177.355,47.568954,10.187899,0
177.455,47.568958,10.187882,0
177.555,47.568966,10.187866,0
177.655,47.56897,10.18785,0
177.755,47.568977,10.187834,0
177.855,47.568985,10.187818,0
177.955,47.568989,10.187801,0
178.055,47.568996,10.187785,0
178.155,47.569004,10.187769,0
178.255,47.569008,10.187753,0
178.355,47.569016,10.187737,0
178.455,47.569019,10.18772,98.709862
178.555,47.569027,10.187704,97.336769
178.655,47.569035,10.187688,95.964256
178.755,47.569038,10.187672,94.592583
178.855,47.569046,10.187655,93.221878
178.955,47.56905,10.187639,91.85215
179.055,47.569057,10.187622,90.483345
179.155,47.569061,10.187606,89.115379
179.255,47.569069,10.18759,87.748177
179.355,47.569073,10.187573,85.926231
179.455,47.56908,10.187557,84.560364
179.555,47.569084,10.18754,83.19487
179.655,47.569092,10.187524,81.829651
179.755,47.569096,10.187508,80.4646
179.855,47.569103,10.18749,79.09964
179.955,47.569107,10.187474,77.734688
180.055,47.569115,10.187457,76.369667
180.155,47.569118,10.187441,75.004547
180.255,47.569122,10.187424,73.639275
180.355,47.56913,10.187407,72.273819
180.455,47.569134,10.18739,70.908127
180.555,47.569138,10.187374,69.542175
180.655,47.569145,10.187357,68.175903
180.755,47.569149,10.18734,66.809296
180.855,47.569153,10.187323,65.442322
180.955,47.56916,10.187306,64.074959
181.055,47.569164,10.187289,62.707191
181.155,47.569168,10.187272,61.338963
181.255,47.569172,10.187255,59.970207
181.355,47.569176,10.187238,58.600998
181.455,47.569183,10.187221,57.231449
181.555,47.569187,10.187203,55.86153
181.655,47.569191,10.187185,54.491203
181.755,47.569195,10.187168,53.120483
181.855,47.569199,10.187151,51.749413
181.955,47.569202,10.187134,50.378021
182.055,47.569206,10.187116,49.00634
182.155,47.56921,10.187099,47.634392
182.255,47.569214,10.187081,46.262218
182.355,47.569218,10.187063,44.889862
182.455,47.569221,10.187046,43.51738
182.555,47.569225,10.187028,42.144817
182.655,47.569229,10.187011,40.314716
182.755,47.569233,10.186993,38.942207
182.855,47.569233,10.186975,37.569839
182.955,47.569237,10.186957,36.197693
183.055,47.569241,10.186939,34.825859
183.155,47.569244,10.186921,33.454433
183.255,47.569248,10.186903,32.083534
183.355,47.569248,10.186886,30.713293
183.455,47.569252,10.186868,29.343857
183.555,47.569256,10.18685,27.975399
183.655,47.56926,10.186831,26.608126
183.755,47.56926,10.186813,25.242275
183.855,47.569263,10.186795,23.878139
183.955,47.569263,10.186777,22.516071
184.055,47.569267,10.186759,21.156507
184.155,47.569271,10.186741,19.800009
184.255,47.569271,10.186723,18.447298
184.355,47.569275,10.186705,17.099337
184.455,47.569275,10.186687,15.757397
184.555,47.569279,10.186668,14.423148
184.655,47.569279,10.18665,13.098755
184.755,47.569283,10.186632,11.787049
184.855,47.569283,10.186614,10.492607
184.955,47.569286,10.186596,9.224089
185.055,47.569286,10.186577,7.993607
185.155,47.569286,10.186559,6.820311
185.255,47.56929,10.186541,0
185.355,47.56929,10.186522,0
185.455,47.569294,10.186503,0
185.555,47.569294,10.186485,0
185.655,47.569294,10.186467,0
185.755,47.569298,10.186449,0
185.855,47.569298,10.18643,0
185.955,47.569298,10.186411,98.564186
186.055,47.569298,10.186392,97.127892
186.155,47.569302,10.186372,95.667366
186.255,47.569302,10.186352,94.181488
186.355,47.569302,10.186332,92.669106
186.455,47.569302,10.186311,91.129509
186.555,47.569305,10.18629,89.562492
186.655,47.569305,10.186269,87.967903
186.755,47.569305,10.186247,86.345467
186.855,47.569305,10.186225,84.694885
186.955,47.569309,10.186202,83.015961
187.055,47.569309,10.186179,81.308594
187.155,47.569309,10.186156,79.572952
187.255,47.569309,10.186132,77.809486
187.355,47.569309,10.186109,76.018677
187.455,47.569313,10.186084,74.20108
187.555,47.569313,10.186059,72.357559
187.655,47.569313,10.186034,70.489441
187.755,47.569313,10.186008,68.598473
187.855,47.569313,10.185983,66.686409
187.955,47.569313,10.185957,64.755249
188.055,47.569313,10.18593,62.807018
188.155,47.569313,10.185905,60.843609
188.255,47.569313,10.185878,58.866573
188.355,47.569313,10.185851,56.877609
188.455,47.569313,10.185824,54.878593
188.555,47.569313,10.185798,52.871132
