Time(S), Latitude, Longitude, CM_D2L, New_Lat, New_lon
43.181,47.666012,10.415546,0.544303,47.666042,10.415586
43.281,47.666016,10.415542,0.535149,47.66605,10.415579
43.381,47.666023,10.415537,0.524562,47.666058,10.415573
43.481,47.666031,10.415532,0.517633,47.666065,10.415566
43.581,47.666035,10.415527,0.513252,47.666065,10.415566
43.681,47.666042,10.415522,0.509471,47.666073,10.415561
43.781,47.666046,10.415517,0.506313,47.66608,10.415554
43.881,47.666054,10.415512,0.503802,47.666088,10.415548
43.981,47.666061,10.415507,0.501958,47.666096,10.415542
44.081,47.666065,10.415503,0.500928,47.666096,10.415542
44.181,47.666073,10.415498,0.501065,47.666103,10.415536
44.281,47.666077,10.415493,0.501756,47.666111,10.415529
44.381,47.666084,10.415488,0.502269,47.666122,10.415524
44.481,47.666092,10.415483,0.50187,47.666122,10.415524
44.581,47.666096,10.415479,0.500212,47.66613,10.415517
44.681,47.666103,10.415474,0.497478,47.666138,10.415511
44.781,47.666107,10.415469,0.493841,47.666138,10.415511
44.881,47.666115,10.415464,0.489801,47.666145,10.415504
44.981,47.666122,10.41546,0.485859,47.666153,10.415499
45.081,47.666126,10.415455,0.482513,47.666161,10.415492
45.181,47.666134,10.41545,0.480312,47.666168,10.415486
45.281,47.666142,10.415445,0.480409,47.666176,10.41548
45.381,47.666145,10.415441,0.481892,47.666176,10.41548
45.481,47.666153,10.415436,0.48313,47.666183,10.415473
45.581,47.666157,10.415431,0.482456,47.666191,10.415467
45.681,47.666164,10.415426,0.48036,47.666191,10.415467
45.781,47.666172,10.415421,0.478169,47.666199,10.415461
45.881,47.666176,10.415416,0.475902,47.66621,10.415455
45.981,47.666183,10.415411,0.473581,47.666218,10.415449
46.081,47.666187,10.415406,0.471215,47.666218,10.415449
46.181,47.666195,10.415401,0.468825,47.666225,10.415442
46.281,47.666203,10.415397,0.466427,47.666233,10.415437
46.381,47.666206,10.415392,0.464053,47.666241,10.41543
46.481,47.666214,10.415387,0.461772,47.666248,10.415424
46.581,47.666218,10.415382,0.459694,47.666248,10.415424
46.681,47.666225,10.415378,0.457811,47.666256,10.415418
46.781,47.666233,10.415373,0.456107,47.666264,10.415412
46.881,47.666237,10.415369,0.454566,47.666271,10.415405
46.981,47.666245,10.415364,0.453174,47.666271,10.415405
47.081,47.666252,10.415359,0.451913,47.666279,10.4154
47.181,47.666256,10.415355,0.45077,47.66629,10.415393
47.281,47.666264,10.41535,0.44973,47.666298,10.415387
47.381,47.666267,10.415345,0.448776,47.666298,10.415387
47.481,47.666275,10.41534,0.447678,47.666306,10.41538
47.581,47.666283,10.415336,0.446277,47.666313,10.415375
47.681,47.666286,10.415331,0.444609,47.666321,10.415369
47.781,47.666294,10.415326,0.442716,47.666328,10.415362
47.881,47.666298,10.415321,0.440641,47.666328,10.415362
47.981,47.666306,10.415317,0.438432,47.666336,10.415357
48.081,47.666313,10.415312,0.436128,47.666344,10.41535
48.181,47.666317,10.415307,0.43377,47.666351,10.415344
48.281,47.666325,10.415302,0.4314,47.666351,10.415344
48.381,47.666332,10.415298,0.429058,47.666359,10.415339
48.481,47.666336,10.415293,0.426792,47.66637,10.415332
48.581,47.666344,10.415288,0.42464,47.666378,10.415326
48.681,47.666348,10.415283,0.422647,47.666378,10.415326
48.781,47.666355,10.415278,0.420857,47.666386,10.415319
48.881,47.666363,10.415274,0.419311,47.666393,10.415314
48.981,47.666367,10.41527,0.418049,47.666401,10.415308
49.081,47.666374,10.415265,0.417118,47.666409,10.415301
49.181,47.666378,10.41526,0.416579,47.666409,10.415301
49.281,47.666386,10.415256,0.417754,47.666416,10.415296
49.381,47.666393,10.415251,0.420671,47.666424,10.415289
49.481,47.666397,10.415246,0.424319,47.666431,10.415283
49.581,47.666405,10.415241,0.427819,47.666431,10.415283
49.681,47.666412,10.415236,0.43018,47.666439,10.415277
49.781,47.666416,10.415232,0.430403,47.666451,10.415271
49.881,47.666424,10.415227,0.428946,47.666458,10.415265
49.981,47.666428,10.415222,0.426847,47.666458,10.415265
50.081,47.666435,10.415218,0.424455,47.666466,10.415258
50.181,47.666443,10.415214,0.422123,47.666473,10.415253
50.281,47.666447,10.415209,0.420211,47.666481,10.415247
50.381,47.666454,10.415204,0.419077,47.666489,10.41524
50.481,47.666462,10.415199,0.418303,47.666489,10.41524
50.581,47.666466,10.415195,0.417527,47.666496,10.415235
50.681,47.666473,10.41519,0.416698,47.666504,10.415229
50.781,47.666477,10.415185,0.415368,47.666512,10.415223
50.881,47.666485,10.415181,0.413082,47.666512,10.415223
50.981,47.666492,10.415176,0.410542,47.666523,10.415216
51.081,47.666496,10.415172,0.408473,47.666531,10.415211
51.181,47.666504,10.415167,0.407674,47.666538,10.415205
51.281,47.666512,10.415162,0.413918,47.666546,10.415198
51.381,47.666515,10.415157,0.415141,47.666546,10.415198
51.481,47.666523,10.415153,0.415097,47.666553,10.415193
51.581,47.666527,10.415149,0.41511,47.666561,10.415187
51.681,47.666534,10.415144,0.415175,47.666569,10.41518
51.781,47.666542,10.415139,0.415407,47.666569,10.41518
51.881,47.666546,10.415134,0.416728,47.666576,10.415174
51.981,47.666553,10.41513,0.419005,47.666584,10.415169
52.081,47.666561,10.415125,0.421818,47.666595,10.415162
52.181,47.666565,10.41512,0.424759,47.666595,10.415162
52.281,47.666573,10.415116,0.427417,47.666603,10.415156
52.381,47.666576,10.415112,0.429045,47.666611,10.415151
52.481,47.666584,10.415107,0.429189,47.666618,10.415145
52.581,47.666592,10.415102,0.428772,47.666626,10.415138
52.681,47.666595,10.415097,0.428313,47.666626,10.415138
52.781,47.666603,10.415093,0.427818,47.666634,10.415133
52.881,47.666611,10.415089,0.42702,47.666641,10.415127
52.981,47.666615,10.415084,0.425996,47.666641,10.415127
53.081,47.666622,10.415079,0.424841,47.666649,10.415121
53.181,47.666626,10.415074,0.423646,47.66666,10.415115
53.281,47.666634,10.415071,0.422499,47.666668,10.415109
53.381,47.666641,10.415066,0.42149,47.666676,10.415103
53.481,47.666645,10.415061,0.420715,47.666676,10.415103
53.581,47.666653,10.415056,0.420262,47.666683,10.415097
53.681,47.66666,10.415051,0.42022,47.666691,10.415092
53.781,47.666664,10.415048,0.420746,47.666698,10.415086
53.881,47.666672,10.415043,0.421876,47.666698,10.415086
53.981,47.666676,10.415038,0.423507,47.666706,10.41508
54.081,47.666683,10.415033,0.425539,47.666714,10.415073
54.181,47.666691,10.415029,0.427856,47.666725,10.415068
54.281,47.666695,10.415025,0.430329,47.666725,10.415068
54.381,47.666702,10.41502,0.432862,47.666733,10.415062
54.481,47.66671,10.415015,0.435343,47.66674,10.415056
54.581,47.666714,10.41501,0.437673,47.666748,10.415051
54.681,47.666721,10.415007,0.43975,47.666756,10.415045
54.781,47.666725,10.415002,0.44147,47.666756,10.415045
54.881,47.666733,10.414997,0.442734,47.666763,10.415038
54.981,47.66674,10.414992,0.443437,47.666771,10.415032
55.081,47.666744,10.414989,0.443479,47.666771,10.415032
55.181,47.666752,10.414984,0.441929,47.666779,10.415027
